(forest ) plant sociology	森林植物社會學
(relascope) relascope；relascop	林分斷面積調查儀；林分面積調查儀
(uniform) tariff	材積表
1F Floor Plan	1樓平面配置圖
1F Floor Plan, Administration Building	行政大樓1樓平面配置圖
1st-Switch	第一分道
7-Dehydrocholesterol	7-去氫膽固醇
A-chromosome	Ａ染色體
AFID Alkali Flame-Ionization Detector or Detection (cf NPD and TTD)	火焰離子化檢出器
APEC Business Advisory Council ; ABAC	APEC企業諮詢委員會
APEC Communication and Database System ; ACDS	APEC通訊與資料庫系統
APEC Council of Academies Of Applied Sciences and Engineering ; APEC-CASE	APEC應用科學與工程學術委員會
APEC Economic Leaders Meeting ; AELM	APEC經濟領袖會議
APEC Education Network ; EduNet	APEC教育網路
APEC Educational Foundation ; APEC EF	APEC教育基金
APEC Leader's Education Initiative ; ALEI	APEC領袖教育倡議
APEC Non-Binding Investment Principles ; APEC NBIP	APEC不具約束力投資原則
APEC Pacific Business Forum ; APBF	APEC太平洋企業論壇
APEC Study Center ; ASC	APEC研究中心
APEC Voluntary Investment Projects ; APEC VIP / AVIP	APEC自願性投資方案
ASEAN Consultative Committee on Standards and Quality ; ACCSQ	東南亞國協標準及品質諮詢委員會
ASEAN Free Trade Area ; AFTA	東協自由貿易區
ASEAN Regional Forum ; ARF	東協區域論壇
ASEAN-EC Energy Management Training and Research Center ; AEEMTRC	東南亞國協-歐洲共同體能源管理訓練與研究中心
Abacterial	無細菌的
Abalone culture	九孔養殖
Abalone fishery	鮑魚漁業
Abalones	九孔
Abbottina brevirostris Gunther	短吻鎌柄魚
Abdomen	腹部
Abdominal belt	腹帶
Abdominal cavity	腹腔
Abdominal disease	腹部疾病
Abdominal distention	腹膨脹
Abdominal ganglia	腹神經節
Abdominal gestation	腹腔妊辰
Abdominal leg	腹足
Abdominal murmur	腹鳴
Abdominal organ	腹氣官
Abdominal wall	腹壁
Abdominal white	腹白
Abductor	外展肌
Aberrant	畸型的
Aberrant mitosis	畸型有絲分裂
Aberration	畸變
Abietene	松香烯
Abietic acid	松香酸
Abiocoen	無機生境
Abiogenesis	無生源說
Abiology	非生物學
Abiotic	非生物的
Abiotic degradation	非生物性分解
Ablactation	空中壓條，離乳
Ablastin	抑菌素
Ablastous	無芽的，無胚的
Ablation	切除，摘除，脫離
Ablator	切割用具
Ablennes anastomella (Cuvier & Valencinnes)	尖嘴扁頜鶴鱵
Ablennes hians (Cuvier & Valenciennes)	扁頜鶴鱵、學魚
Abloom	開花
Abnormal fertilization	異常受精
Abnormal growth	異常生長
Abnormal mitosis	反常有絲分裂
Abnormality	畸形
Abnormality disease	畸形病
Abomasum	皺胃
Abonominal distention	腹澎脹
Aboospore	單性卵苞子
Abort	流產
Aborted	發育不全的
Abortive haul rate	空網率
Abrasion	磨蝕作用
Abscess	膿腫，膿瘍
Abscisic acid	脫離酸
Absolute	絕對的
Absolute alcohole	無水酒精
Absolute asymmetry	絕對不對稱
Absolute boiling point	絕對沸點
Absolute capacity	絕對容量
Absolute drought	絕對乾旱
Absolute dry weight	絕對乾重
Absolute duty of water	低限水
Absolute gravity determination	絕對重力測定
Absolute gravity expansion	絕對膨脹
Absolute humidity	絕對溼度
Absolute index of refraction	絕對折射率
Absolute manimum fatal temperature	絕對最低致死溫度
Absolute maximum fatal temperature	絕對最高致死溫度
Absolute pressure	絕對壓力
Absolute refractory period	絕對反應期
Absolute temperature	絕對溫度
Absolute value	絕對值
Absolute variability	絕對變異量
Absolute volume	絕對容量
Absolute weight	絕對重量
Absorbability	吸收率
Absorbant	吸收劑
Absorber	吸收器
Absorbing capacity	吸收量
Absorbing complex	吸收性復合體
Absorbing power	吸收力
